,g,i,year,omegaland,omegasupply,omegalabor,omegaestablish,omegacash,omeganoncash,omegatotal,xwater,p,y,xland,omegawater,sigma,theta,pc,pimarginal,rho,lambdaland,lambdacrop,betaland,betawater,betasupply,betalabor,tau,gamma,delta,xlandsc,xwatersc,xdiffland,xdifftotalland,xdiffwater,pisc,ResourceFlag
0,DAP001,GRAIN,2015.5,317.0,319.0,135.0,0.0,614.0,188.0,801.0,0.4333728670000001,195.97468,3.0999999999999996,291.3656133333334,10.0,0.17,0.38000000000000006,263.1714115341496,38.76668643349998,-4.88235294117647,40.4976470858637,0.0,0.4405009054569979,9.006707758771856e-05,0.3930649333953023,0.16634409407011227,3.103326409017054,0.009031878941588738,2848.491083492882,291.3655773458071,126.26985388072637,3.598752630296076e-05,3.598752630296076e-05,9.731475377350307e-05,64580.763149202045,GOOD
0,DAP002,ALFAL,2015.5,553.0,527.0,276.0,0.0,1182.0,608.0,1790.0,4.414817076,190.64985000000001,6.8,1386.2258657500001,10.0,0.17,0.51,229.942294583522,166.4820637135001,-4.88235294117647,21.5718933960001,141.887539011949,0.011248672371038977,0.976143937028231,0.008274090718038215,0.004333299882691742,3.1824203603202004,0.0014144767906668892,71291.53590464921,1386.2258325231037,6119.933160120944,3.3226896448468324e-05,0.0001349518088318291,7739.3605414695785,1890403.3884883053,GOOD
1,DAP002,CORN,2015.5,678.0,593.0,162.0,0.0,1122.0,74.0,1196.0,1.868750157,165.2125,5.0275,2398.1647184999997,10.0,0.17,0.64,303.7700790474986,72.58437507850005,-4.88235294117647,21.5718933960001,53.9446774452991,0.39571059004207865,0.2077997944101132,0.3114150225428479,0.08507459300496015,4.805368456925027,0.0006515398996351302,242419.0041835267,2398.1646647734556,4481.57037007998,5.372654413804412e-05,0.0001349518088318291,7739.3605414695785,1890403.3884883053,GOOD
2,DAP002,GRAIN,2015.5,317.0,319.0,135.0,0.0,614.0,188.0,801.0,0.4333728670000001,164.49797,3.0766666666666667,602.7167207333333,10.0,0.17,0.38000000000000006,264.9755750050499,38.76668643349998,-4.88235294117647,21.5718933960001,18.3358970328701,0.4400939608901158,9.013258673373283e-05,0.3933508241869713,0.1664650823361791,3.0799704344124685,0.0043661953565292564,5882.6451067084045,602.7167064464107,261.2010541844607,1.4286922578321537e-05,0.0001349518088318291,7739.3605414695785,1890403.3884883053,GOOD
3,DAP002,PASTR,2015.5,245.0,139.0,1.0,0.0,519.0,148.0,666.0,4.643786792,89.90799999999999,3.63,19.42893275,10.0,0.17,0.51,124.79607749752067,21.571893396000007,-4.88235294117647,21.5718933960001,0.0,0.0031690717111510754,0.9951665741294174,0.0016524659154355135,1.1888243995938947e-05,1.2451389676943452,0.10092084516199121,371.77113743977173,19.428931473974306,90.22381020256852,1.2760256957733418e-06,0.0001349518088318291,7739.3605414695785,1890403.3884883053,GOOD
4,DAP002,POTATO,2015.5,583.0,2266.0,407.0,0.0,3187.0,268.0,3455.0,1.659284777,652.0207200000001,18.64,27.94868099,10.0,0.17,0.19,652.0207200000001,8881.073373030002,-4.88235294117647,21.5718933960001,8859.501479634,0.7673342007486894,0.015942593739583434,0.18372419891117622,0.03299900660055107,18.583943796300115,0.18831507277999962,260.2750778954958,27.94868097553697,46.37481861846001,1.4463029884836942e-08,0.0001349518088318291,7739.3605414695785,1890403.3884883053,GOOD
5,DAP002,PRTOM,2015.5,582.0,1588.0,758.0,0.0,2987.0,185.0,3172.0,1.956976357,79.72488,46.97333333333333,388.68657853333326,10.0,0.17,0.28,79.72488,788.1659285633328,-4.88235294117647,21.5718933960001,775.801706234,0.32498489644715006,0.12228989026072801,0.3741379534134228,0.1785872598786993,45.78409598323015,0.009188453547598608,4220.731877569051,388.68657643226106,760.6504027828857,2.10107219800193e-06,0.0001349518088318291,7739.3605414695785,1890403.3884883053,GOOD
6,DAP002,RICE,2015.5,550.0,819.0,318.0,0.0,1769.0,68.0,1837.0,3.136909449,272.7868,3.49,669.2380696,10.0,0.17,0.96,516.9878364511461,85.91845472450018,-4.88235294117647,21.5718933960001,64.3465613285001,0.06294942541711315,0.8244991992178399,0.08107262658221039,0.031478748782836276,2.4524452784016524,0.0015564964307682994,144166.12130311024,669.2380392801144,2099.339021738064,3.0319885581775452e-05,0.0001349518088318291,7739.3605414695785,1890403.3884883053,GOOD
0,DAP003,ALFAL,2015.5,553.0,527.0,276.0,0.0,1182.0,608.0,1790.0,4.414817076,186.10598,4.640000000000001,15.416539256499998,10.0,0.17,0.51,320.27127253336846,70.00740853800005,-4.88235294117647,23.1039880974206,62.8065456974091,0.010043354842578808,0.9773338857693584,0.008284177082825653,0.004338582305236964,2.1495628761779546,0.1271870606691949,707.0323903856098,15.416538692685615,68.0611937395598,5.63814383625072e-07,0.00011076151736233442,5765.935030110833,167942.49567340346,GOOD
1,DAP003,PASTR,2015.5,245.0,139.0,1.0,0.0,519.0,148.0,666.0,4.643786792,106.387,3.3550000000000004,1241.64508005,10.0,0.17,0.51,135.48192429729374,21.571893396000007,-4.88235294117647,23.1039880974206,0.0,0.0031872275748922865,0.9951484485795302,0.0016524358181089294,1.1888027468409563e-05,1.151602065206173,0.0015791826063906533,23895.33451656016,1241.644969852297,5765.934089713103,0.00011019770295206399,0.00011076151736233442,5765.935030110833,167942.49567340346,GOOD
0,DAP005,CORN,2015.5,678.0,593.0,162.0,0.0,1122.0,74.0,1196.0,1.862039009,165.2125,5.0275,564.01099805,10.0,0.17,0.64,303.75603576369093,72.58101950450015,-4.88235294117647,40.2476016256746,35.2654780862815,0.39743892643897266,0.20433787406974568,0.3127766321832186,0.08544656730806309,4.809618841657584,0.0027703360491234306,57012.91073510546,564.010960861355,1050.210235418579,3.7188645023888967e-05,6.447211194426927e-05,531.6396175766249,1839229.6131924074,GOOD
1,DAP005,GRAIN,2015.5,317.0,319.0,135.0,0.0,614.0,188.0,801.0,0.405584193,182.1822275,3.1274999999999995,397.60624909999984,10.0,0.17,0.38,260.6885510969384,38.752792096499974,-4.88235294117647,40.2476016256746,0.0,0.4403412775170287,6.1011867120367516e-05,0.39319751032259126,0.1664002002932596,3.130657078383148,0.006618555300187364,3884.417521457972,397.606222166981,161.26277219763293,2.6933018830277433e-05,6.447211194426927e-05,531.6396175766249,1839229.6131924074,GOOD
2,DAP005,OTHDEC,2015.5,1450.0,1648.0,1927.0,536.0,4047.0,1746.0,5793.0,3.237341939,2626.767255,2.05,5.6197140455,10.0,0.17,0.11,2923.11083505757,931.2370733796254,-4.88235294117647,40.2476016256746,894.756190852343,0.14919721970868866,0.6271636975608054,0.10309292540975493,0.12054615732075108,1.6767734407375434,1.6176817925795812,0.16613621918815702,5.619714021965273,18.19293288788855,2.3534727056073734e-08,6.447211194426927e-05,531.6396175766249,1839229.6131924074,GOOD
3,DAP005,POTATO,2015.5,583.0,2266.0,407.0,0.0,3187.0,268.0,3455.0,1.670352411,656.49228,18.245,210.84390645000002,10.0,0.17,0.19,656.49228,8703.23185829,-4.88235294117647,40.2476016256746,8664.75052286433,0.7634721288694502,0.016807650140507734,0.18626487869937725,0.033455342290664845,18.186964674947852,0.02496234291686755,1926.9761657061495,210.84390612308673,352.1835694966667,3.2691329465706076e-07,6.447211194426927e-05,531.6396175766249,1839229.6131924074,GOOD
0,DAP006,ALFAL,2015.5,553.0,527.0,276.0,0.0,1182.0,608.0,1790.0,4.414817076,195.68301999999997,4.5425,35.9766480815,10.0,0.17,0.51,329.5303510747493,70.0074085380001,-4.88235294117647,23.1039880974206,73.6394608996281,0.010211903900159405,0.9771674858505399,0.008282766626875911,0.0043378436224245755,2.107453701551888,0.054501584174368074,1677.9343926404592,35.97664472871032,158.83028004234305,3.3527896832197257e-06,3.81983606985159e-05,1331.485291788277,774686.1424152956,GOOD
1,DAP006,ALPIS,2015.5,1092.0,1642.0,760.0,390.0,2820.0,1314.0,4133.0,4.083923885,4447.960999999999,0.81,13.540120745,10.0,0.17,0.11,4914.6374291375,403.37872154625006,-4.88235294117647,23.1039880974206,422.913090653954,0.035555768134326156,0.9089149687394238,0.03795963782402268,0.017569625302227308,0.4969091231093084,0.6714053192078157,0.2581337120690374,13.540120632850671,55.29681354463389,1.121493280464847e-07,3.81983606985159e-05,1331.485291788277,774686.1424152956,GOOD
2,DAP006,CORN,2015.5,678.0,593.0,162.0,0.0,1122.0,74.0,1196.0,1.868750157,165.2125,5.0275,67.09481364624999,10.0,0.17,0.64,303.7700790474986,72.58437507850005,-4.88235294117647,23.1039880974206,52.4125827438786,0.3957105900420787,0.2077997944101132,0.311415022542848,0.08507459300496015,4.805368456925028,0.023287940081898266,6782.293886875573,67.09480816052857,125.38341401041623,5.485721416675915e-06,3.81983606985159e-05,1331.485291788277,774686.1424152956,GOOD
